kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,ADDMOD,50000,0.000013135,3806650207.395,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,ADDMOD,50000,0.000955845,52309723.861,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,rsa256(composite),256,SUBTRACTMOD,50000,0.002055550,24324395.646,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,rsa256(composite),256,SUBTRACTMOD,50000,0.000357225,139967870.562,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,rsa256(composite),256,SUBTRACTMOD,50000,0.002286974,21862951.976,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,SUBTRACTMOD,50000,0.000013219,3782379258.842,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,SUBTRACTMOD,50000,0.001062070,47077875.357,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,rsa256(composite),256,MULTIPLYOPERANDSCANNING,50000,0.001109220,45076717.021,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,rsa256(composite),256,MULTIPLYOPERANDSCANNING,50000,0.000182627,273781961.403,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,rsa256(composite),256,MULTIPLYOPERANDSCANNING,50000,0.000753784,66332032.979,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,MULTIPLYOPERANDSCANNING,50000,0.000016953,2949354018.568,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,MULTIPLYOPERANDSCANNING,50000,0.001197331,41759558.938,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,rsa256(composite),256,MULTIPLYPRODUCTSCANNING,50000,0.001101720,45383595.169,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,rsa256(composite),256,MULTIPLYPRODUCTSCANNING,50000,0.000179770,278132787.410,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,rsa256(composite),256,MULTIPLYPRODUCTSCANNING,50000,0.000720373,69408452.802,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,MULTIPLYPRODUCTSCANNING,50000,0.000040063,1248029085.837,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,MULTIPLYPRODUCTSCANNING,50000,0.001228461,40701346.841,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,rsa256(composite),256,MONTGOMERYMULTIPLICATION,50000,0.007480851,6683731.651,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,rsa256(composite),256,MONTGOMERYMULTIPLICATION,50000,0.001394745,35848847.887,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,rsa256(composite),256,MONTGOMERYMULTIPLICATION,50000,0.000366714,136346090.472,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,MONTGOMERYMULTIPLICATION,50000,0.000021338,2343237727.779,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,MONTGOMERYMULTIPLICATION,50000,0.000974294,51319222.284,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,rsa256(composite),256,COMPARE,50000,0.000411730,121438821.964,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,rsa256(composite),256,COMPARE,50000,0.000064485,775371223.489,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,rsa256(composite),256,COMPARE,50000,0.000126036,396711927.003,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,COMPARE,50000,0.000010892,4590405814.202,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,COMPARE,50000,0.000982994,50864999.308,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,rsa256(composite),256,REDUCE,6250,0.000196724,31770436.870,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,rsa256(composite),256,REDUCE,6250,0.000034861,179283779.385,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,rsa256(composite),256,REDUCE,6250,0.000299932,20838061.057,0
