kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
opencl-e2e,NVIDIA TITAN Xp,GPU,w32,p1024,1024,ADD,21000,0.001185118,17719754.669,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-opt,p1024,1024,ADD,21000,0.000079556,263965328.854,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-opt,p1024,1024,ADD,21000,0.001075260,19530158.180,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-o64,p1024,1024,ADD,21000,0.000088822,236427654.909,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-o64,p1024,1024,ADD,21000,0.001089428,19276173.215,0
library,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,host-cpu,gmp-1t,p1024,1024,SUBTRACT,12500,0.000280863,44505699.011,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w8,p1024,1024,SUBTRACT,21000,0.000250509,83829320.564,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w8,p1024,1024,SUBTRACT,21000,0.001250075,16798989.691,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w16,p1024,1024,SUBTRACT,21000,0.000141960,147929129.305,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w16,p1024,1024,SUBTRACT,21000,0.001531116,13715484.179,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32,p1024,1024,SUBTRACT,21000,0.000196699,106762079.809,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32,p1024,1024,SUBTRACT,21000,0.001482155,14168556.956,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-opt,p1024,1024,SUBTRACT,21000,0.000077291,271699897.928,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-opt,p1024,1024,SUBTRACT,21000,0.001020725,20573609.515,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-o64,p1024,1024,SUBTRACT,21000,0.000090511,232015869.692,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-o64,p1024,1024,SUBTRACT,21000,0.001082420,19400973.985,0
library,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,host-cpu,gmp-1t,p1024,1024,ADDMOD,12500,0.000998980,12512764.270,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w8,p1024,1024,ADDMOD,21000,0.000365064,57524157.981,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w8,p1024,1024,ADDMOD,21000,0.001353632,15513815.428,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w16,p1024,1024,ADDMOD,21000,0.000201501,104217869.773,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w16,p1024,1024,ADDMOD,21000,0.001575512,13328999.394,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32,p1024,1024,ADDMOD,21000,0.000220214,95361777.199,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32,p1024,1024,ADDMOD,21000,0.001316826,15947436.132,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-opt,p1024,1024,ADDMOD,21000,0.000094085,223202422.260,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-opt,p1024,1024,ADDMOD,21000,0.001412909,14862952.828,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-o64,p1024,1024,ADDMOD,21000,0.000105977,198156094.488,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-o64,p1024,1024,ADDMOD,21000,0.001120898,18734979.543,0
library,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,host-cpu,gmp-1t,p1024,1024,SUBTRACTMOD,12500,0.000778416,16058252.891,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w8,p1024,1024,SUBTRACTMOD,21000,0.000366155,57352751.335,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w8,p1024,1024,SUBTRACTMOD,21000,0.001772888,11845079.860,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w16,p1024,1024,SUBTRACTMOD,21000,0.000199274,105382577.147,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w16,p1024,1024,SUBTRACTMOD,21000,0.001225544,17135245.740,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32,p1024,1024,SUBTRACTMOD,21000,0.000217461,96569131.279,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32,p1024,1024,SUBTRACTMOD,21000,0.001168822,17966808.554,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-opt,p1024,1024,SUBTRACTMOD,21000,0.000092114,227978730.458,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-opt,p1024,1024,SUBTRACTMOD,21000,0.001425720,14729399.337,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-o64,p1024,1024,SUBTRACTMOD,21000,0.000101449,207000627.045,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-o64,p1024,1024,SUBTRACTMOD,21000,0.001457988,14403410.217,0
library,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,host-cpu,gmp-1t,p1024,1024,MULTIPLYOPERANDSCANNING,12500,0.002434484,5134557.877,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w8,p1024,1024,MULTIPLYOPERANDSCANNING,21000,0.073629862,285210.367,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w8,p1024,1024,MULTIPLYOPERANDSCANNING,21000,0.075206989,279229.368,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w16,p1024,1024,MULTIPLYOPERANDSCANNING,21000,0.021986647,955125.170,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w16,p1024,1024,MULTIPLYOPERANDSCANNING,21000,0.023771807,883399.395,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32,p1024,1024,MULTIPLYOPERANDSCANNING,21000,0.015846356,1325225.808,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32,p1024,1024,MULTIPLYOPERANDSCANNING,21000,0.017297360,1214058.107,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-opt,p1024,1024,MULTIPLYOPERANDSCANNING,21000,0.000221933,94623149.740,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-opt,p1024,1024,MULTIPLYOPERANDSCANNING,21000,0.001639565,12808275.465,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-o64,p1024,1024,MULTIPLYOPERANDSCANNING,21000,0.000251155,83613666.798,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-o64,p1024,1024,MULTIPLYOPERANDSCANNING,21000,0.001443053,14552478.743,0
library,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,host-cpu,gmp-1t,p1024,1024,MULTIPLYPRODUCTSCANNING,12500,0.002244527,5569102.122,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w8,p1024,1024,MULTIPLYPRODUCTSCANNING,21000,0.019362817,1084552.932,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w8,p1024,1024,MULTIPLYPRODUCTSCANNING,21000,0.021065920,996870.769,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w16,p1024,1024,MULTIPLYPRODUCTSCANNING,21000,0.004258084,4931795.487,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w16,p1024,1024,MULTIPLYPRODUCTSCANNING,21000,0.005693111,3688668.572,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32,p1024,1024,MULTIPLYPRODUCTSCANNING,21000,0.001499530,14004388.714,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32,p1024,1024,MULTIPLYPRODUCTSCANNING,21000,0.002863124,7334645.620,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-opt,p1024,1024,MULTIPLYPRODUCTSCANNING,21000,0.001269332,16544136.323,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-opt,p1024,1024,MULTIPLYPRODUCTSCANNING,21000,0.002478303,8473539.631,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-o64,p1024,1024,MULTIPLYPRODUCTSCANNING,21000,0.001439480,14588600.314,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-o64,p1024,1024,MULTIPLYPRODUCTSCANNING,21000,0.002665935,7877161.735,0
library,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,host-cpu,gmp-1t,p1024,1024,MONTGOMERYMULTIPLICATION,12500,0.016355331,764276.795,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w8,p1024,1024,MONTGOMERYMULTIPLICATION,21000,0.003735178,5622222.144,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w8,p1024,1024,MONTGOMERYMULTIPLICATION,21000,0.004726245,4443273.613,0
